Period,Data_value,Suppressed,STATUS,UNITS
2016.06,1116.386,,F,Dollars
2016.09,1070.874,,F,Dollars
2016.12,1054.408,,F,Dollars
2017.03,1010.665,,F,Dollars
2017.06,1233.7,,F,Dollars
2017.09,1282.436,,F,Dollars
2017.12,1290.82,,F,Dollars
2018.03,1412.007,,F,Dollars
2018.06,1488.055,,F,Dollars
2018.09,1497.678,,F,Dollars
2018.12,1570.507,,F,Dollars
2019.03,1393.749,,F,Dollars
2019.06,1517.143,,F,Dollars
2019.09,1381.514,,F,Dollars
2019.12,1370.985,,F,Dollars
2020.03,1073.017,,F,Dollars
2020.06,1131.445,,F,Dollars
2020.09,1440.101,,F,Dollars
2020.12,1489.979,,F,Dollars
2021.03,1390.782,,F,Dollars
2021.06,1826.73,,F,Dollars
2016.06,1061.354,,R,Dollars
2016.09,1059.264,,R,Dollars
2016.12,1055.683,,R,Dollars
2017.03,1075.857,,R,Dollars
2017.06,1174.183,,R,Dollars
2017.09,1270.569,,R,Dollars
2017.12,1288.087,,R,Dollars
2018.03,1505.77,,R,Dollars
2018.06,1416.372,,R,Dollars
2018.09,1483.703,,R,Dollars
2018.12,1566.251,,R,Dollars
2019.03,1488.614,,R,Dollars
2019.06,1441.339,,R,Dollars
2019.09,1370.491,,R,Dollars
2019.12,1366.993,,R,Dollars
2020.03,1145.482,,R,Dollars
2020.06,1074.819,,R,Dollars
2020.09,1430.05,,R,Dollars
2020.12,1486.139,,R,Dollars
2021.03,1480.051,,R,Dollars
2021.06,1738.499,,F,Dollars
2016.06,1025.436,,R,Dollars
2016.09,1070.246,,R,Dollars
2016.12,1053.542,,R,Dollars
2017.03,1085.732,,R,Dollars
2017.06,1173.246,,R,Dollars
2017.09,1252.99,,R,Dollars
2017.12,1328.224,,R,Dollars
2018.03,1393.548,,R,Dollars
2018.06,1437.152,,R,Dollars
2018.09,1491.932,,R,Dollars
2018.12,1539.381,,R,Dollars
2019.03,1506.566,,R,Dollars
2019.06,1430.703,,R,Dollars
2019.09,1379.168,,R,Dollars
2019.12,1369.957,,R,Dollars
2020.03,,Y,C,Dollars
2020.06,1413.073,,R,Dollars
2020.09,,Y,C,Dollars
2020.12,1471.482,,R,Dollars
2021.03,1489.814,,R,Dollars
2021.06,,Y,C,Dollars
2016.06,1189.735,,F,Dollars
2016.09,1144.938,,F,Dollars
2016.12,1390.589,,F,Dollars
2017.03,1310.912,,F,Dollars
2017.06,1241.466,,F,Dollars
2017.09,1288.648,,F,Dollars
2017.12,1772.086,,F,Dollars
2018.03,1554.221,,F,Dollars
2018.06,1441.386,,F,Dollars
2018.09,1364.769,,F,Dollars
2018.12,1771.028,,F,Dollars
2019.03,1665.84,,F,Dollars
2019.06,1554.397,,F,Dollars
2019.09,1484.434,,F,Dollars
2019.12,1817.118,,F,Dollars
2020.03,1582.915,,F,Dollars
2020.06,1421.593,,F,Dollars
2020.09,1614.752,,R,Dollars
2020.12,2089.453,,R,Dollars
2021.03,1817.439,,R,Dollars
2021.06,1814.973,,F,Dollars
2016.06,1266.46,,R,Dollars
2016.09,1290.305,,R,Dollars
2016.12,1221.059,,R,Dollars
2017.03,1266.43,,R,Dollars
2017.06,1329.659,,R,Dollars
2017.09,1441.852,,R,Dollars
2017.12,1550.553,,R,Dollars
2018.03,1513.2,,R,Dollars
2018.06,1544.738,,R,Dollars
2018.09,1520.486,,R,Dollars
2018.12,1542.182,,R,Dollars
2019.03,1637.375,,R,Dollars
2019.06,1663.32,,R,Dollars
2019.09,1647.29,,R,Dollars
2019.12,1579.243,,R,Dollars